repetition,concentration,lpd,acc,ce,brier
0,0.002,-0.2734302734375,0.9031,0.010860093869268894,0.1367345947265625
0,0.0038387662073329693,-0.2634486328125,0.9115,0.01673135533928871,0.12994654541015624
0,0.0073680629972807735,-0.273298046875,0.9118,0.014417791739106178,0.13306456298828126
0,0.01414213562373095,-0.260973046875,0.9145,0.02002316154539585,0.1282898193359375
0,0.027144176165949066,-0.264603515625,0.912,0.01996130682528019,0.1309275634765625
0,0.05210007309586913,-0.300416015625,0.9119,0.062451716512441635,0.1357822509765625
0,0.09999999999999999,-0.4380345703125,0.9091,0.1797289401292801,0.1780979736328125
0,0.19193831036664843,-0.54646796875,0.8716,0.1909174621105194,0.247270263671875
0,0.36840314986403866,-0.627148046875,0.8658,0.2380359172821045,0.273597802734375
0,0.7071067811865475,-1.1682634765625,0.6543,0.23087921738624573,0.55315966796875
0,1.3572088082974532,-1.4145470703125,0.5293,0.169889435172081,0.65223037109375
0,2.6050036547934563,-2.027030078125,0.2901,0.05110720545053482,0.8274142578125
0,5.0,-2.3810396484375,0.2118,0.13215899467468262,0.9064935546875
1,0.002,-0.2600697265625,0.9153,0.021659620106220245,0.12698778076171874
1,0.0038387662073329693,-0.2972478515625,0.9103,0.05394265055656433,0.13306376953125
1,0.0073680629972807735,-0.2679623046875,0.9133,0.018308881670236588,0.1317370361328125
1,0.01414213562373095,-0.2839205078125,0.9095,0.0371830016374588,0.13538365478515624
1,0.027144176165949066,-0.2730376953125,0.9142,0.035394277423620224,0.12963941650390626
1,0.05210007309586913,-0.4256853515625,0.906,0.15953518450260162,0.18201800537109375
1,0.09999999999999999,-0.3814052734375,0.9047,0.1176333799958229,0.16777437744140625
1,0.19193831036664843,-0.59159453125,0.8793,0.23841305077075958,0.262587939453125
1,0.36840314986403866,-0.737657421875,0.8519,0.28839439153671265,0.333039990234375
1,0.7071067811865475,-1.11014814453125,0.6601,0.20582088828086853,0.525569677734375
1,1.3572088082974532,-1.7388984375,0.406,0.061212703585624695,0.7425912109375
1,2.6050036547934563,-2.2188939453125,0.2504,0.10466784983873367,0.87409931640625
1,5.0,-2.27309609375,0.2312,0.12571918964385986,0.88814716796875
2,0.002,-0.2714986328125,0.907,0.009668605402112007,0.13535537109375
2,0.0038387662073329693,-0.27412421875,0.9076,0.014899929985404015,0.13379417724609374
2,0.0073680629972807735,-0.2821927734375,0.911,0.031162379309535027,0.13385517578125
2,0.01414213562373095,-0.286106640625,0.9056,0.029860472306609154,0.1401666015625
2,0.027144176165949066,-0.2800482421875,0.9061,0.021531302481889725,0.1379557861328125
2,0.05210007309586913,-0.2935330078125,0.9088,0.04705892503261566,0.1418062744140625
2,0.09999999999999999,-0.425753125,0.9022,0.15540730953216553,0.1840366455078125
2,0.19193831036664843,-0.5723677734375,0.8804,0.22574128210544586,0.24839501953125
2,0.36840314986403866,-1.102778515625,0.719,0.28499072790145874,0.512612939453125
2,0.7071067811865475,-1.34617060546875,0.5722,0.17664963006973267,0.618116943359375
2,1.3572088082974532,-1.76691640625,0.3429,0.02962600439786911,0.772689111328125
2,2.6050036547934563,-2.193351171875,0.2373,0.12660814821720123,0.8770326171875
2,5.0,-2.20376171875,0.2571,0.0850028395652771,0.86444453125
3,0.002,-0.2622255859375,0.9121,0.015329991467297077,0.1289422607421875
3,0.0038387662073329693,-0.276503125,0.9079,0.013535740785300732,0.1360793212890625
3,0.0073680629972807735,-0.30356484375,0.9132,0.06480534374713898,0.13361121826171876
3,0.01414213562373095,-0.310129296875,0.9113,0.06888004392385483,0.14027550048828125
3,0.027144176165949066,-0.289814453125,0.9146,0.05588715896010399,0.1317860107421875
3,0.05210007309586913,-0.3938302734375,0.9038,0.1287330538034439,0.1680922607421875
3,0.09999999999999999,-0.4091513671875,0.9061,0.14874142408370972,0.17416815185546874
3,0.19193831036664843,-0.5861560546875,0.8777,0.22638827562332153,0.25156484375
3,0.36840314986403866,-0.660527734375,0.8621,0.2478252798318863,0.2929398193359375
3,0.7071067811865475,-1.6611345703125,0.3736,0.03194696828722954,0.74399033203125
3,1.3572088082974532,-1.44455078125,0.5055,0.10834139585494995,0.661095068359375
3,2.6050036547934563,-1.9770390625,0.2888,0.042822327464818954,0.8195076171875
3,5.0,-2.331841015625,0.226,0.12982937693595886,0.8989091796875
4,0.002,-0.2669197265625,0.9131,0.01884191855788231,0.128988720703125
4,0.0038387662073329693,-0.2601298828125,0.9148,0.015220152214169502,0.12772000732421876
4,0.0073680629972807735,-0.2702591796875,0.9078,0.013765258714556694,0.13406080322265626
4,0.01414213562373095,-0.2714720703125,0.9127,0.02641892246901989,0.131983544921875
4,0.027144176165949066,-0.2667029296875,0.9095,0.017925098538398743,0.13224664306640624
4,0.05210007309586913,-0.37751328125,0.9049,0.11668404936790466,0.1623176025390625
4,0.09999999999999999,-0.51734609375,0.9047,0.2302655130624771,0.2172377685546875
4,0.19193831036664843,-0.60793671875,0.8672,0.22906824946403503,0.2705267578125
4,0.36840314986403866,-0.7917919921875,0.8478,0.31150540709495544,0.3576447998046875
4,0.7071067811865475,-1.32455078125,0.574,0.15774622559547424,0.604116064453125
4,1.3572088082974532,-1.52282275390625,0.4601,0.10502925515174866,0.6925951171875
4,2.6050036547934563,-2.07841484375,0.2698,0.08662069588899612,0.8489390625
4,5.0,-2.2582046875,0.2304,0.12460924685001373,0.888748046875
