model,lpd,acc,ce,brier
0,-0.473174365234375,0.8797,0.06715410947799683,0.19065447998046875
1,-0.4881345703125,0.8707,0.06892479956150055,0.20085208740234375
2,-0.4023130126953125,0.8791,0.0515604168176651,0.18075030517578125
3,-0.468879345703125,0.8802,0.06880179792642593,0.18909901123046874
4,-0.4037807373046875,0.887,0.05521497130393982,0.17442724609375
5,-0.25751103515625,0.917,0.021398520097136497,0.12581064453125
