model,lpd,acc,ce,brier
0,-0.542557763671875,0.9186,0.06444337964057922,0.14363291015625
1,-0.46026083984375,0.9192,0.05968809500336647,0.13745523681640626
2,-0.475812255859375,0.9152,0.06445532292127609,0.14413536376953126
3,-0.3981894775390625,0.9148,0.058151789009571075,0.14197637939453125
4,-0.466640673828125,0.9196,0.06181620806455612,0.137870947265625
5,-0.21537802734375,0.9378,0.016303811222314835,0.09431666870117188
