repetition,concentration,lpd,acc,ce,brier
0,0.002,-0.2199341796875,0.9368,0.013791071251034737,0.09651060791015625
0,0.0038387662073329693,-0.22789765625,0.9363,0.016785113140940666,0.09704456176757813
0,0.0073680629972807735,-0.2219119140625,0.9343,0.015643736347556114,0.09867958374023438
0,0.01414213562373095,-0.208973828125,0.9359,0.010924942791461945,0.09591325073242188
0,0.027144176165949066,-0.229173828125,0.9304,0.014376782812178135,0.10684541015625
0,0.05210007309586913,-0.2240802734375,0.9325,0.019404960796236992,0.103343408203125
0,0.09999999999999999,-0.2522220703125,0.9285,0.043539825826883316,0.1148874267578125
0,0.19193831036664843,-0.3447046875,0.9113,0.09432333707809448,0.15894725341796875
0,0.36840314986403866,-0.5226048828125,0.8366,0.09319191426038742,0.2583638427734375
0,0.7071067811865475,-0.5249455078125,0.8385,0.08099900186061859,0.257541162109375
0,1.3572088082974532,-1.054373046875,0.6655,0.05643121898174286,0.484941015625
0,2.6050036547934563,-1.2914630859375,0.618,0.09736175090074539,0.54997734375
0,5.0,-1.21021552734375,0.6414,0.09450025111436844,0.524232080078125
1,0.002,-0.2316904296875,0.9352,0.018657971173524857,0.09920166625976562
1,0.0038387662073329693,-0.2434642578125,0.9355,0.017790811136364937,0.10034695434570312
1,0.0073680629972807735,-0.2259328125,0.9319,0.019359370693564415,0.10045510864257813
1,0.01414213562373095,-0.221453125,0.9372,0.014937418513000011,0.09647711181640625
1,0.027144176165949066,-0.2125787109375,0.9361,0.010613304562866688,0.0983736328125
1,0.05210007309586913,-0.2251,0.9356,0.010850789956748486,0.0998269775390625
1,0.09999999999999999,-0.2531939453125,0.924,0.03468046709895134,0.11738861083984375
1,0.19193831036664843,-0.3392564453125,0.9009,0.06969380378723145,0.161577001953125
1,0.36840314986403866,-0.501776953125,0.8483,0.08537624776363373,0.2463273193359375
1,0.7071067811865475,-0.4998634765625,0.8386,0.06687016040086746,0.24750478515625
1,1.3572088082974532,-0.94842421875,0.7011,0.03949491307139397,0.43549013671875
1,2.6050036547934563,-1.326105859375,0.6226,0.09595224261283875,0.54261826171875
1,5.0,-1.40601572265625,0.5976,0.13114914298057556,0.58466259765625
2,0.002,-0.2212572265625,0.9374,0.015026841312646866,0.096312890625
2,0.0038387662073329693,-0.2169751953125,0.9356,0.008549255318939686,0.09820015869140625
2,0.0073680629972807735,-0.2335076171875,0.9262,0.028780294582247734,0.1043548828125
2,0.01414213562373095,-0.21271875,0.9352,0.004621368832886219,0.09923446655273438
2,0.027144176165949066,-0.2248599609375,0.9345,0.019203146919608116,0.10066103515625
2,0.05210007309586913,-0.2210755859375,0.9327,0.021311180666089058,0.10239894409179688
2,0.09999999999999999,-0.2300166015625,0.9302,0.026347553357481956,0.10766268310546875
2,0.19193831036664843,-0.2840513671875,0.919,0.050225578248500824,0.13265537109375
2,0.36840314986403866,-0.5517099609375,0.8203,0.06237011402845383,0.2731213623046875
2,0.7071067811865475,-0.61533671875,0.7912,0.050548069179058075,0.3090006591796875
2,1.3572088082974532,-1.1440263671875,0.6645,0.05683206021785736,0.488755419921875
2,2.6050036547934563,-1.18997138671875,0.6484,0.080882728099823,0.51055791015625
2,5.0,-1.40481728515625,0.6113,0.1321926712989807,0.573280615234375
3,0.002,-0.217919921875,0.9377,0.013244337402284145,0.09529219970703125
3,0.0038387662073329693,-0.2082306640625,0.9366,0.011449960060417652,0.0957591796875
3,0.0073680629972807735,-0.2174923828125,0.937,0.014822106808423996,0.09583057861328124
3,0.01414213562373095,-0.21433671875,0.9362,0.009668507613241673,0.09705574951171875
3,0.027144176165949066,-0.235908984375,0.9341,0.03186032921075821,0.10435966796875
3,0.05210007309586913,-0.242762890625,0.9293,0.03650955110788345,0.110649609375
3,0.09999999999999999,-0.2171861328125,0.9329,0.01385682262480259,0.1030040283203125
3,0.19193831036664843,-0.2843724609375,0.9183,0.05294521525502205,0.13254461669921874
3,0.36840314986403866,-0.3716427734375,0.9009,0.09098836779594421,0.17320018310546875
3,0.7071067811865475,-0.516098046875,0.8425,0.07809930294752121,0.251620263671875
3,1.3572088082974532,-0.8952404296875,0.7021,0.026912380009889603,0.42778740234375
3,2.6050036547934563,-1.1146015625,0.6648,0.07074008882045746,0.491693798828125
3,5.0,-1.6109396484375,0.5821,0.16800962388515472,0.621823828125
4,0.002,-0.2186765625,0.9381,0.016037920489907265,0.0959611572265625
4,0.0038387662073329693,-0.2171662109375,0.9373,0.015225956216454506,0.0963859130859375
4,0.0073680629972807735,-0.220581640625,0.9345,0.012460974976420403,0.10036257934570313
4,0.01414213562373095,-0.215628125,0.9366,0.013121843338012695,0.096263330078125
4,0.027144176165949066,-0.2153154296875,0.9373,0.008143959566950798,0.0977703125
4,0.05210007309586913,-0.254707421875,0.9298,0.049106448888778687,0.1147317626953125
4,0.09999999999999999,-0.2911859375,0.9192,0.06080147624015808,0.1338805419921875
4,0.19193831036664843,-0.4080150390625,0.8875,0.1030861884355545,0.1959310791015625
4,0.36840314986403866,-0.4623986328125,0.8508,0.050231825560331345,0.22460087890625
4,0.7071067811865475,-0.5512521484375,0.8225,0.06709831953048706,0.2730963623046875
4,1.3572088082974532,-0.84166953125,0.7354,0.05045546218752861,0.396139892578125
4,2.6050036547934563,-1.126441015625,0.6579,0.06772122532129288,0.4954767578125
4,5.0,-1.597879296875,0.5746,0.15437684953212738,0.626078076171875
