model,lpd,acc,ce,brier
0,-1.828551953125,0.4468,0.17629122734069824,0.734981298828125
1,-1.839542578125,0.4435,0.17945608496665955,0.735604541015625
2,-1.7877248046875,0.4544,0.1621880829334259,0.720973291015625
3,-1.761661328125,0.4673,0.17249006032943726,0.712147265625
4,-1.778233984375,0.4538,0.175009623169899,0.725416064453125
5,-1.39141982421875,0.5256,0.018621638417243958,0.613329833984375
