repetition,concentration,lpd,acc,ce,brier
0,0.002,-1.4077544921875,0.5103,0.01936671882867813,0.626114990234375
0,0.002770836049762948,-1.377677734375,0.5186,0.017583508044481277,0.61548212890625
0,0.0038387662073329693,-1.395262109375,0.521,0.015401791781187057,0.61562021484375
0,0.005318295896944989,-1.3937146484375,0.524,0.01855585351586342,0.61410791015625
0,0.0073680629972807735,-1.3733466796875,0.5243,0.029961563646793365,0.61394833984375
0,0.010207847284895002,-1.3803439453125,0.5203,0.027541501447558403,0.61655830078125
0,0.01414213562373095,-1.3764734375,0.5232,0.04533219337463379,0.615766015625
0,0.019592769603435266,-1.390201953125,0.5195,0.06800056993961334,0.62024521484375
0,0.027144176165949066,-1.371674609375,0.5229,0.041576169431209564,0.614416845703125
0,0.03760603093086394,-1.43150703125,0.5209,0.12148720026016235,0.6347724609375
0,0.052100073095869136,-1.3954458984375,0.5233,0.08181420713663101,0.6220779296875
0,0.07218038036465943,-1.459921875,0.5192,0.14204645156860352,0.64428232421875
0,0.1,-1.4657509765625,0.5241,0.1631159484386444,0.64837890625
0,0.1385418024881474,-1.530365234375,0.5235,0.20513024926185608,0.6718521484375
0,0.19193831036664843,-1.5822833984375,0.5123,0.2190367579460144,0.69171474609375
0,0.26591479484724945,-1.68976484375,0.5222,0.2812826335430145,0.732121875
0,0.36840314986403866,-1.7225080078125,0.5092,0.2784362733364105,0.74315166015625
0,0.5103923642447501,-1.863544921875,0.4856,0.2996215224266052,0.790572021484375
0,0.7071067811865475,-1.894984375,0.479,0.301607221364975,0.799995849609375
0,0.9796384801717632,-1.96753984375,0.4433,0.28188395500183105,0.82144765625
0,1.3572088082974532,-2.0161001953125,0.4033,0.25085967779159546,0.8348767578125
0,1.8803015465431967,-2.054669140625,0.3584,0.2118833065032959,0.84496953125
0,2.6050036547934563,-2.077175390625,0.3438,0.2007742077112198,0.85062890625
0,3.609019018232971,-2.096133984375,0.3205,0.1799727976322174,0.8552966796875
0,5.0,-2.102265625,0.3126,0.17270945012569427,0.85675869140625
1,0.002,-1.3905892578125,0.5217,0.019457940012216568,0.614642138671875
1,0.002770836049762948,-1.3815490234375,0.5213,0.018198173493146896,0.61470625
1,0.0038387662073329693,-1.405631640625,0.5135,0.02479352056980133,0.621702392578125
1,0.005318295896944989,-1.3836904296875,0.5192,0.014245533384382725,0.617074462890625
1,0.0073680629972807735,-1.371926171875,0.5226,0.035433001816272736,0.614470654296875
1,0.010207847284895002,-1.380826171875,0.5234,0.0199756883084774,0.61479853515625
1,0.01414213562373095,-1.3794234375,0.5216,0.03559677302837372,0.6157759765625
1,0.019592769603435266,-1.37600078125,0.5246,0.04853159561753273,0.615298486328125
1,0.027144176165949066,-1.379483203125,0.5236,0.06389099359512329,0.617070703125
1,0.03760603093086394,-1.395244921875,0.5236,0.07847535610198975,0.621900830078125
1,0.052100073095869136,-1.4222158203125,0.5244,0.12067995965480804,0.63189423828125
1,0.07218038036465943,-1.46434453125,0.5265,0.16134461760520935,0.646325537109375
1,0.1,-1.51065859375,0.5274,0.19806061685085297,0.66461123046875
1,0.1385418024881474,-1.544594921875,0.5223,0.21317149698734283,0.677334521484375
1,0.19193831036664843,-1.5722607421875,0.5238,0.22868561744689941,0.687579833984375
1,0.26591479484724945,-1.7956140625,0.4999,0.2947593033313751,0.7688728515625
1,0.36840314986403866,-1.68530703125,0.5158,0.2722460627555847,0.729809814453125
1,0.5103923642447501,-1.90058125,0.473,0.29569700360298157,0.8015171875
1,0.7071067811865475,-1.801556640625,0.5028,0.3001556396484375,0.77033046875
1,0.9796384801717632,-2.0075109375,0.4078,0.25371935963630676,0.83252705078125
1,1.3572088082974532,-2.0229203125,0.3941,0.24284358322620392,0.8367529296875
1,1.8803015465431967,-2.06154921875,0.3591,0.21398107707500458,0.84672099609375
1,2.6050036547934563,-2.055859375,0.3648,0.21874940395355225,0.8452580078125
1,3.609019018232971,-2.076089453125,0.341,0.19796425104141235,0.85038232421875
1,5.0,-2.1029572265625,0.3089,0.16891714930534363,0.8569193359375
2,0.002,-1.3955189453125,0.5226,0.016689637675881386,0.61593896484375
2,0.002770836049762948,-1.396151171875,0.522,0.01166372187435627,0.61558447265625
2,0.0038387662073329693,-1.3930921875,0.5211,0.018549229949712753,0.614727880859375
2,0.005318295896944989,-1.38313359375,0.523,0.01861400716006756,0.615165380859375
2,0.0073680629972807735,-1.37222421875,0.5252,0.027141233906149864,0.61316171875
2,0.010207847284895002,-1.3816775390625,0.5184,0.03501448035240173,0.61807119140625
2,0.01414213562373095,-1.374853515625,0.524,0.03604894131422043,0.614919921875
2,0.019592769603435266,-1.37765234375,0.5203,0.024152955040335655,0.6158484375
2,0.027144176165949066,-1.3754201171875,0.5217,0.03492390364408493,0.61530361328125
2,0.03760603093086394,-1.3893572265625,0.5162,0.05380036681890488,0.621684912109375
2,0.052100073095869136,-1.42545546875,0.5211,0.12264828383922577,0.633246484375
2,0.07218038036465943,-1.4553822265625,0.5188,0.13875456154346466,0.6428873046875
2,0.1,-1.511469140625,0.5269,0.1998382806777954,0.665004638671875
2,0.1385418024881474,-1.4763953125,0.523,0.1668454259634018,0.65190830078125
2,0.19193831036664843,-1.5847466796875,0.5207,0.23078332841396332,0.692293408203125
2,0.26591479484724945,-1.7141052734375,0.5134,0.2808457016944885,0.740103125
2,0.36840314986403866,-1.742399609375,0.5165,0.2945677638053894,0.75029716796875
2,0.5103923642447501,-1.824239453125,0.495,0.2986794710159302,0.7781951171875
2,0.7071067811865475,-1.931804296875,0.4653,0.2961278259754181,0.810798095703125
2,0.9796384801717632,-2.00205546875,0.4146,0.259579062461853,0.83098447265625
2,1.3572088082974532,-2.0155125,0.4079,0.25535789132118225,0.8345513671875
2,1.8803015465431967,-2.0477283203125,0.3756,0.22828896343708038,0.84312724609375
2,2.6050036547934563,-2.08693828125,0.3284,0.18669123947620392,0.8530388671875
2,3.609019018232971,-2.09089140625,0.33,0.18887320160865784,0.854003125
2,5.0,-2.101536328125,0.3122,0.17238867282867432,0.856612109375
3,0.002,-1.3957080078125,0.5181,0.015269197523593903,0.617235791015625
3,0.002770836049762948,-1.38488984375,0.5174,0.019552534446120262,0.616285498046875
3,0.0038387662073329693,-1.39721328125,0.5122,0.015451201237738132,0.620919287109375
3,0.005318295896944989,-1.388452734375,0.522,0.020546818152070045,0.6149125
3,0.0073680629972807735,-1.3753525390625,0.5218,0.0223936066031456,0.614868701171875
3,0.010207847284895002,-1.3806353515625,0.5202,0.022796008735895157,0.616603125
