repetition,concentration,lpd,acc,ce,brier
0,0.002,-0.047448046875,0.9875,0.003349944017827511,0.02013285675048828
0,0.002770836049762948,-0.0469484375,0.9877,0.0037632377352565527,0.020045756530761717
0,0.0038387662073329693,-0.04653125,0.9876,0.003730732249096036,0.020130075073242187
0,0.005318295896944989,-0.04682265625,0.9879,0.004765671212226152,0.019666554260253905
0,0.0073680629972807735,-0.045512890625,0.9876,0.0034690815955400467,0.02000283203125
0,0.010207847284895002,-0.04450390625,0.988,0.0037827484775334597,0.01976305847167969
0,0.01414213562373095,-0.044993359375,0.9878,0.0030959832947701216,0.019917800903320314
0,0.019592769603435266,-0.045885546875,0.9882,0.0036032856442034245,0.019753916931152343
0,0.027144176165949066,-0.0458359375,0.988,0.0043355850502848625,0.01973831787109375
0,0.03760603093086394,-0.04453515625,0.9877,0.0033120280131697655,0.019825051879882812
0,0.052100073095869136,-0.045294921875,0.9871,0.0017246990464627743,0.020035203552246094
0,0.07218038036465943,-0.044093359375,0.9877,0.0031326464377343655,0.019558145141601563
0,0.1,-0.045455078125,0.9871,0.0042377011850476265,0.02029990234375
0,0.1385418024881474,-0.044974609375,0.9875,0.003763397689908743,0.019913722229003908
0,0.19193831036664843,-0.047344140625,0.9868,0.0031459832098335028,0.02066822814941406
0,0.26591479484724945,-0.048704296875,0.9868,0.0042487503960728645,0.021134770202636717
0,0.36840314986403866,-0.050044140625,0.987,0.004756160546094179,0.021321298217773437
0,0.5103923642447501,-0.055017578125,0.9855,0.00675731198862195,0.02322502746582031
0,0.7071067811865475,-0.060134375,0.9845,0.007705782074481249,0.02488775634765625
0,0.9796384801717632,-0.058526953125,0.9849,0.007053574547171593,0.024414138793945314
0,1.3572088082974532,-0.065272265625,0.9839,0.009563051164150238,0.026457125854492187
0,1.8803015465431967,-0.068002734375,0.9831,0.010290686972439289,0.02732443542480469
0,2.6050036547934563,-0.06915625,0.9836,0.01025657169520855,0.02773748779296875
0,3.609019018232971,-0.071051953125,0.9832,0.0112927770242095,0.028272308349609376
0,5.0,-0.07258828125,0.983,0.012071847915649414,0.028598281860351564
1,0.002,-0.047731640625,0.9876,0.004889092408120632,0.020252197265625
1,0.002770836049762948,-0.046935546875,0.9881,0.0035561188124120235,0.019910752868652345
1,0.0038387662073329693,-0.047640234375,0.987,0.003856377210468054,0.020292269897460937
1,0.005318295896944989,-0.0456796875,0.9876,0.004228822886943817,0.019724533081054686
1,0.0073680629972807735,-0.04488671875,0.988,0.003298755269497633,0.019538587951660157
1,0.010207847284895002,-0.046831640625,0.9878,0.00445086695253849,0.019913218688964843
1,0.01414213562373095,-0.045015234375,0.9879,0.00328587694093585,0.019739971923828124
1,0.019592769603435266,-0.045816015625,0.9874,0.0036175798159092665,0.019759645080566407
1,0.027144176165949066,-0.0454265625,0.9879,0.0038059859070926905,0.019781671142578124
1,0.03760603093086394,-0.043903125,0.9882,0.0030957364942878485,0.019513734436035157
1,0.052100073095869136,-0.04512734375,0.9876,0.003432861529290676,0.0201465087890625
1,0.07218038036465943,-0.043823046875,0.988,0.0037862102035433054,0.019549961853027344
1,0.1,-0.04503671875,0.9872,0.003123168833553791,0.020094313049316408
1,0.1385418024881474,-0.04698125,0.9877,0.0040113297291100025,0.020604385375976562
1,0.19193831036664843,-0.04670234375,0.9871,0.002812030026689172,0.020320152282714842
1,0.26591479484724945,-0.050794140625,0.9859,0.004123666789382696,0.022018600463867187
1,0.36840314986403866,-0.050998828125,0.9864,0.005373538471758366,0.02173156433105469
1,0.5103923642447501,-0.051569921875,0.9861,0.004874084144830704,0.022073663330078125
1,0.7071067811865475,-0.05734296875,0.9848,0.006510606501251459,0.02401878662109375
1,0.9796384801717632,-0.059930078125,0.9844,0.006839103531092405,0.02481893615722656
1,1.3572088082974532,-0.065126171875,0.9839,0.009296447969973087,0.026395751953125
1,1.8803015465431967,-0.066167578125,0.9836,0.009673917666077614,0.02682954406738281
1,2.6050036547934563,-0.06945,0.9836,0.010699662379920483,0.027720465087890625
1,3.609019018232971,-0.070686328125,0.9826,0.010824115946888924,0.02818226318359375
1,5.0,-0.072742578125,0.9828,0.011527184396982193,0.028673468017578124
2,0.002,-0.046284375,0.9874,0.004606621339917183,0.019563316345214844
2,0.002770836049762948,-0.049046875,0.9865,0.003513772040605545,0.020818263244628907
2,0.0038387662073329693,-0.0475921875,0.9871,0.003928984981030226,0.02007369079589844
2,0.005318295896944989,-0.046175,0.988,0.00405999505892396,0.019538575744628906
2,0.0073680629972807735,-0.046167578125,0.9879,0.0032183893490582705,0.019941789245605468
2,0.010207847284895002,-0.045745703125,0.9877,0.0050971610471606255,0.019744195556640625
2,0.01414213562373095,-0.04629375,0.9874,0.004946946166455746,0.020283546447753906
2,0.019592769603435266,-0.04588203125,0.9875,0.0038824917282909155,0.019969009399414064
2,0.027144176165949066,-0.045020703125,0.988,0.003444637870416045,0.019836102294921876
2,0.03760603093086394,-0.04466171875,0.9884,0.0032937442883849144,0.019637356567382813
2,0.052100073095869136,-0.044115625,0.9877,0.003978707827627659,0.019802259826660156
2,0.07218038036465943,-0.044976171875,0.987,0.0031302724964916706,0.02002466735839844
