repetition,concentration,lpd,acc,ce,brier
0,0.002,-0.047402734375,0.9875,0.0035397580359131098,0.02013505096435547
0,0.002770836049762948,-0.045459765625,0.9876,0.0036508834455162287,0.0200294921875
0,0.0038387662073329693,-0.06123515625,0.9874,0.020373696461319923,0.02066344757080078
0,0.005318295896944989,-0.0467984375,0.9879,0.004764106590300798,0.019665695190429686
0,0.0073680629972807735,-0.069502734375,0.9873,0.029651228338479996,0.021021514892578124
0,0.010207847284895002,-0.12284296875,0.9879,0.08146307617425919,0.027404034423828126
0,0.01414213562373095,-0.117444140625,0.9878,0.075990691781044,0.026532672119140625
0,0.019592769603435266,-0.062043359375,0.9881,0.021550146862864494,0.020184442138671876
0,0.027144176165949066,-0.052534765625,0.9877,0.012318150140345097,0.020015426635742187
0,0.03760603093086394,-0.118686328125,0.9878,0.07750378549098969,0.026986260986328125
0,0.052100073095869136,-0.2118767578125,0.9875,0.15894760191440582,0.04970466918945313
0,0.07218038036465943,-0.2281560546875,0.9874,0.17395876348018646,0.05419838256835938
0,0.1,-0.4166228515625,0.9873,0.31318891048431396,0.1335292724609375
0,0.1385418024881474,-0.295271875,0.9868,0.2253641039133072,0.0793591552734375
0,0.19193831036664843,-0.5167044921875,0.9866,0.37657344341278076,0.183890966796875
0,0.26591479484724945,-0.6503783203125,0.986,0.4517134726047516,0.255053857421875
0,0.36840314986403866,-0.673778125,0.986,0.4632174074649811,0.2673622802734375
0,0.5103923642447501,-1.3241353515625,0.9639,0.6887838840484619,0.596541064453125
0,0.7071067811865475,-1.693547265625,0.7267,0.5303341150283813,0.739521923828125
0,0.9796384801717632,-1.567520703125,0.7957,0.5716633200645447,0.691289453125
0,1.3572088082974532,-2.030623046875,0.1506,0.16813446581363678,0.83898876953125
0,1.8803015465431967,-2.213278125,0.0975,0.10005025565624237,0.8823302734375
0,2.6050036547934563,-2.2470970703125,0.0974,0.074582040309906,0.88964755859375
0,3.609019018232971,-2.26562578125,0.0974,0.07246454805135727,0.893510546875
0,5.0,-2.2831345703125,0.0974,0.0707300677895546,0.89713525390625
1,0.002,-0.04773125,0.9876,0.0048890672624111176,0.020252166748046876
1,0.002770836049762948,-0.0455890625,0.9881,0.003774239681661129,0.01990885925292969
1,0.0038387662073329693,-0.046499609375,0.9869,0.003992662765085697,0.020288482666015625
1,0.005318295896944989,-0.068044921875,0.9876,0.026683874428272247,0.020452487182617187
