model,lpd,acc,ce,brier
0,-0.09940916748046875,0.9838,0.01276029646396637,0.028821038818359374
1,-0.09436322021484375,0.9828,0.013348068110644817,0.029213394165039062
2,-0.104281298828125,0.9823,0.013066250830888748,0.030976229858398437
3,-0.08920203857421875,0.984,0.012243036180734634,0.027861007690429686
4,-0.10799439697265625,0.9804,0.014056678861379623,0.034004791259765625
5,-0.0465564453125,0.9878,0.003881588578224182,0.019613429260253907
