repetition,concentration,lpd,acc,ce,brier
0,0.002,-0.0109294921875,0.9964,0.0012507274514064193,0.005574306488037109
0,0.0038387662073329693,-0.01241484375,0.9962,0.0016528608975932002,0.005788956069946289
0,0.0073680629972807735,-0.010446484375,0.9969,0.0015019401907920837,0.00518292465209961
0,0.01414213562373095,-0.0116033203125,0.9964,0.0034155664034187794,0.0055148021697998045
0,0.027144176165949066,-0.0475845703125,0.9958,0.03715731203556061,0.010620956420898437
0,0.05210007309586913,-0.071986328125,0.996,0.059939101338386536,0.014159054565429688
0,0.09999999999999999,-0.067371875,0.997,0.05694359540939331,0.01392413330078125
0,0.19193831036664843,-0.124611328125,0.9946,0.10293810814619064,0.03281351318359375
0,0.36840314986403866,-0.317926171875,0.9769,0.22234869003295898,0.1261918212890625
0,0.7071067811865475,-0.2485033203125,0.9892,0.19122160971164703,0.08652616577148438
0,1.3572088082974532,-0.4916859375,0.8901,0.20370925962924957,0.234068359375
0,2.6050036547934563,-0.5681298828125,0.8399,0.14719945192337036,0.272409228515625
0,5.0,-0.7064912109375,0.7804,0.12438178807497025,0.341273193359375
1,0.002,-0.0123853515625,0.996,0.0012964318739250302,0.005824148559570312
1,0.0038387662073329693,-0.01297109375,0.9957,0.0013212909689173102,0.006446446990966797
1,0.0073680629972807735,-0.0112087890625,0.9962,0.0010018863249570131,0.005705463409423828
1,0.01414213562373095,-0.0109154296875,0.9964,0.001223044702783227,0.005499884796142578
1,0.027144176165949066,-0.0126109375,0.9964,0.002799809444695711,0.005664140319824219
1,0.05210007309586913,-0.0431189453125,0.9958,0.03157394751906395,0.00921361083984375
1,0.09999999999999999,-0.0637458984375,0.9953,0.04982781410217285,0.01508173828125
1,0.19193831036664843,-0.2170572265625,0.9913,0.17330706119537354,0.06906023559570312
1,0.36840314986403866,-0.1767451171875,0.9873,0.12996895611286163,0.061924066162109374
1,0.7071067811865475,-0.2251646484375,0.9843,0.16600030660629272,0.079055859375
1,1.3572088082974532,-0.453009375,0.9227,0.22699379920959473,0.2070623779296875
1,2.6050036547934563,-0.4917201171875,0.8639,0.13478289544582367,0.2295006103515625
1,5.0,-0.7867865234375,0.7299,0.05819249153137207,0.38078505859375
2,0.002,-0.01086171875,0.9963,0.00192125397734344,0.005449791336059571
2,0.0038387662073329693,-0.04922890625,0.9958,0.03772678226232529,0.009566848754882812
2,0.0073680629972807735,-0.0128224609375,0.9946,0.0017075148643925786,0.007030248260498047
2,0.01414213562373095,-0.0155345703125,0.9961,0.0054971687495708466,0.006121998596191406
2,0.027144176165949066,-0.0106501953125,0.9967,0.0011272536357864738,0.005445468902587891
2,0.05210007309586913,-0.0319892578125,0.9965,0.02264598198235035,0.008331941223144531
2,0.09999999999999999,-0.0268158203125,0.9956,0.01634516566991806,0.008328323364257812
2,0.19193831036664843,-0.054667578125,0.9942,0.04031600430607796,0.01597511291503906
2,0.36840314986403866,-0.281017578125,0.975,0.19046469032764435,0.11006783447265625
2,0.7071067811865475,-0.2792232421875,0.9775,0.1925693154335022,0.1105404296875
2,1.3572088082974532,-0.46669765625,0.9094,0.21230831742286682,0.210747216796875
2,2.6050036547934563,-0.7212958984375,0.7575,0.08415630459785461,0.355986865234375
2,5.0,-0.8885205078125,0.6752,0.02342168241739273,0.444748681640625
3,0.002,-0.0111533203125,0.9959,0.0012517435243353248,0.005690492248535156
3,0.0038387662073329693,-0.0121505859375,0.9964,0.0028764838352799416,0.005574651336669922
3,0.0073680629972807735,-0.0108798828125,0.9969,0.0016790240770205855,0.005398587799072266
3,0.01414213562373095,-0.010865625,0.9969,0.0025806629564613104,0.005144197845458985
3,0.027144176165949066,-0.0376580078125,0.9956,0.026697523891925812,0.00927637710571289
3,0.05210007309586913,-0.0733578125,0.9966,0.061387646943330765,0.015025343322753907
3,0.09999999999999999,-0.0411357421875,0.9964,0.029986577108502388,0.009312657928466797
3,0.19193831036664843,-0.1131302734375,0.9952,0.09510690718889236,0.02626429443359375
3,0.36840314986403866,-0.2579513671875,0.9942,0.20686094462871552,0.09661012573242188
3,0.7071067811865475,-0.2062708984375,0.9879,0.15527036786079407,0.07039475708007813
3,1.3572088082974532,-0.4777177734375,0.8941,0.19941812753677368,0.226076806640625
3,2.6050036547934563,-0.63918515625,0.8097,0.170233353972435,0.3149547119140625
3,5.0,-0.981628125,0.6525,0.028736356645822525,0.463696240234375
4,0.002,-0.0109880859375,0.9961,0.001708913710899651,0.005563933181762695
4,0.0038387662073329693,-0.0104404296875,0.997,0.0016427383525297046,0.005034991836547852
4,0.0073680629972807735,-0.017884375,0.9967,0.00968961976468563,0.006180165481567383
4,0.01414213562373095,-0.0106732421875,0.9966,0.001575175323523581,0.005395154190063476
4,0.027144176165949066,-0.02714609375,0.9963,0.017634667456150055,0.006937294006347656
4,0.05210007309586913,-0.0616076171875,0.9964,0.05046818405389786,0.013435371398925781
4,0.09999999999999999,-0.080801171875,0.9947,0.06470725685358047,0.019885853576660156
4,0.19193831036664843,-0.1672736328125,0.9934,0.1356625109910965,0.04942744140625
4,0.36840314986403866,-0.178325,0.9787,0.11854387819766998,0.06619874877929688
4,0.7071067811865475,-0.303797265625,0.9791,0.2153373658657074,0.120462939453125
4,1.3572088082974532,-0.3526005859375,0.9502,0.19741444289684296,0.14946571044921875
4,2.6050036547934563,-0.5950939453125,0.8361,0.17911545932292938,0.290072021484375
4,5.0,-0.7486607421875,0.7355,0.033615462481975555,0.3697634033203125
