model,lpd,acc,ce,brier
0,-0.020511856079101564,0.9953,0.0033438755199313164,0.007925566101074219
1,-0.02727864685058594,0.9939,0.0047532026655972,0.0104981201171875
2,-0.021792701721191406,0.9955,0.003174946643412113,0.007885670471191406
3,-0.02132549133300781,0.9945,0.003218166995793581,0.008380410766601563
4,-0.029559048461914064,0.9947,0.003675080370157957,0.009231244659423828
5,-0.0106158203125,0.9966,0.0018010365311056376,0.005242937850952149
