model,lpd,acc,ce,brier
0,-0.71770703125,0.8954,0.0829266607761383,0.18408682861328124
1,-0.717841064453125,0.8945,0.08277732133865356,0.1866556396484375
2,-0.7279248046875,0.8945,0.08435750007629395,0.186736279296875
3,-0.659810595703125,0.896,0.08255335688591003,0.18246561279296875
4,-0.732938916015625,0.8937,0.08562523126602173,0.18693590087890624
5,-0.39511201171875,0.9081,0.037069715559482574,0.1408753173828125
